358,San Juan (2ª Edição),2 a 4 jogadores 
359,Levitadores,1 a 4 jogadores 
360,Sushi Go Party!,2 a 8 jogadores 
361,London (Second Edition),2 a 4 jogadores 
362,Welcome To: Seu Lar Perfeito,1 a 99 jogadores 
363,Mysterium,2 a 7 jogadores 
364,Vast: As Cavernas de Cristal,1 a 5 jogadores 
365,Small World,2 a 5 jogadores 
366,Brazil: Imperial,1 a 4 jogadores 
367,Fireteam Zero,1 a 4 jogadores 
368,EXIT: A Cabana Abandonada,1 a 6 jogadores 
369,Encantados - Segunda Edição,2 a 4 jogadores 
370,The Few and Cursed,1 a 4 jogadores 
371,Panamax,2 a 4 jogadores 
372,Harry Potter: Hogwarts Battle,2 a 4 jogadores 
373,Exploding Kittens,2 a 5 jogadores 
374,Jester,2 a 4 jogadores 
375,Massive Darkness,1 a 6 jogadores 
376,Spyfall,3 a 8 jogadores 
377,Downforce,2 a 6 jogadores 
378,Century: Spice Road,2 a 4 jogadores 
379,Caverna: Cave vs Cave,1 a 2 jogadores 
380,Quantum,2 a 4 jogadores 
381,Sprawlopolis,1 a 4 jogadores 
382,In the Year of the Dragon,2 a 5 jogadores 
383,Skytear,2 a 8 jogadores 
384,Sonhando com Alice,2 a 4 jogadores 
385,Zurvivors,3 a 6 jogadores 
386,Deception: Murder in Hong Kong,4 a 12 jogadores 
387,Galaxy Trucker,2 a 4 jogadores 
388,No Thanks!,3 a 7 jogadores 
389,Steam,3 a 5 jogadores 
390,Rococo: Deluxe Edition,1 a 5 jogadores 
391,Cuba,2 a 5 jogadores 
392,Nations,1 a 5 jogadores 
393,Hive,2 jogadores 
394,Dune: Imperium,1 a 4 jogadores 
395,Futboard,2 jogadores 
396,Escape Tales: O Despertar,1 a 4 jogadores 
397,The Grizzled,2 a 5 jogadores 
398,Dungeon Command: Sting of Lolth,2 a 4 jogadores 
399,Os Reinos de Drunagor,2 a 4 jogadores 
400,Tokaido,2 a 5 jogadores 
401,AquaSphere,2 a 4 jogadores 
402,Medici,2 a 6 jogadores 
403,City of the Big Shoulders,2 a 4 jogadores 
404,Bohnanza: Por um Punhado de Feijões!,3 a 5 jogadores 
405,King of Tokyo,2 a 6 jogadores 
406,Samurai,2 a 4 jogadores 
407,Indonesia,2 a 5 jogadores 
